ID,Título,Género,Director,Recaudación (EUR MM)
1,Avengers: Endgame,Acción,Anthony Russo,2518.0
2,Avatar,Ciencia ficción,James Cameron,2511.4
3,Titanic,Drama,James Cameron,1975.0
4,Star Wars: Episode VII - The Force Awakens,Ciencia ficción,J.J. Abrams,1861.4
5,Avengers: Infinity War,Acción,Anthony Russo,1843.6
6,Jurassic World,Acción,Colin Trevorrow,1503.4
7,The Lion King (2019),Animación,Jon Favreau,False
8,The Avengers,Acción,Joss Whedon,1366.9
9,Furious 7,Acción,James Wan,1364.4
10,Frozen II,Animación,Chris Buck,1305.0
11,Avengers: Age of Ultron,Acción,Joss Whedon,1262.5
12,Black Panther,Acción,Ryan Coogler,1212.2
13,Harry Potter and the Deathly Hallows: Part 2,Fantasía,David Yates,1207.7
14,Star Wars: Episode VIII - The Last Jedi,Ciencia ficción,Rian Johnson,1199.3
15,Jurassic World: Fallen Kingdom,Acción,J.A. Bayona,1177.7
16,Frozen,Animación,Chris Buck,1152.9
17,Beauty and the Beast (2017),Fantasía,Bill Condon,1137.2
18,Incredibles 2,Animación,Brad Bird,1118.8
19,The Fate of the Furious,Acción,F. Gary Gray,1112.4
20,Iron Man 3,Acción,Shane Black,1093.3
